id,name,label,superclass,classification,subclass,family,distribution,designer,rg,xHeight,capHeight,xHeightRatio,capHeightRatio,xHeightRatioRounded,capHeightRatioRounded,adjust,xHeightPct,capHeightPct,0.70,18,24,link,Year,stylesheet,100 Greatest Fonts,Typewolf Google,Typewolf Adobe,Google Analytics,Google Analytics Score,100 Greatest Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,FontsInUse,Wikipedia,Deweight,Score,Quality,Utility,Underrated Boost,In Use Boost,Weight Boost,Rating,inuse
1,Acumin Pro,Acumin,Sans,Grotesque,NeoGrotesque,Acumin,Adobe,Robert Slimbach,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,24.43,33.41,1.36,1.44,1.35,1.45,0.997313432835821,0.74,0.70,1.00,18,24,https://fonts.adobe.com/fonts/acumin,2015,rvi6wdt,,,3,,,,,99,15,15,,,129,10,10,,10,9,229,Behance;Billboard
2,Adelle,Adelle,Serif,Slab,Slab,Adelle,Adobe,José Scaglione;Veronika Burian;TypeTogether,100;100i;300;300i;400;400i;600;600i;700;700i;800;800i;900;900i;200;200i,24.67,34.75,1.41,1.38,1.4,1.4,1.03731343283582,0.70,0.72,0.97,18,23,https://fonts.adobe.com/fonts/adelle-sans,2009,ulo4ekj,,,41,,,,,61,15,5,,,81,8,6,,5,8,129,University of Texas Press
3,Adelle Sans,Adelle Sans,Sans,Humanist,Frutiger,Adelle,Adobe,José Scaglione;Veronika Burian;TypeTogether,100;100i;300;300i;400;400i;600;600i;700;700i;800;800i;900;900i,24.67,34.75,1.41,1.38,1.4,1.4,1.03731343283582,0.70,0.72,0.97,18,23,https://fonts.adobe.com/fonts/adelle,2009,zsx1doa,,,41,,,,,61,15,5,,,81,8,8,,5,7,145,The American Scholar
4,Adobe Caslon Pro,Adobe Caslon Pro,Serif,Old Style,Caslon,,Adobe,Carol Twombly;Adobe Originals;William Caslon I,400;400i;600;600i;700;700i,20.21,34.13,1.69,1.41,1.7,1.4,1.01880597014925,0.60,0.72,0.97,18,23,https://fonts.adobe.com/fonts/adobe-caslon,1725,mxh6wbn,47,,,,,54,,,15,15,15,15,84,10,8,,15,3,164,New Yorker;The American Scholar;Lapham’s Quarterly
5,Adobe Garamond Pro,Adobe Garamond,Serif,Old Style,Garamond,,Adobe,Claude Garamond;Robert Slimbach;Robert Granjon,400;400i;600;600i;700;700i,19.06,31.82,1.67,1.51,1.65,1.5,0.949850746268657,0.60,0.66,1.06,19,25,https://fonts.adobe.com/fonts/adobe-garamond,1530,ysg3ymc,2,,,,,99,,,,5,15,,119,10,10,5,15,3,224,The Atlantic;Vogue;Guggenheim
6,Aktiv Grotesk,Aktiv Grotesk,Sans,Grotesque,NeoGrotesque,,Adobe,Dalton Maag,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,24.82,34.27,1.38,1.4,1.4,1.4,1.02298507462687,0.72,0.72,0.97,18,23,https://fonts.adobe.com/fonts/aktiv-grotesk,2010,qja7gba,,,37,,,,,65,,15,,,80,10,8,,15,8,160,Invision;IndieWire;WeTransfer
7,Alegreya,Alegreya,Serif,Old Style,Garamond,Alegreya,Google,Juan Pablo del Peral;Huerta Tipográfica,400..900;400..900i,21.89,30.96,1.41,1.55,1.4,1.55,0.924179104477612,0.70,0.64,1.09,20,26,https://fonts.google.com/specimen/Alegreya,2010,,,12,,"4,236,763,878",26,,89,,15,5,,15,100.5,3,4,,,,112.5,
8,Alegreya Sans,Alegreya Sans,Sans,Humanist,Johnston,,Google,Juan Pablo del Peral;Huerta Tipográfica,100;100i;300;300i;400;400i;500;500i;700;700i;800;800i;900;900i,22.13,30.77,1.39,1.56,1.4,1.55,0.918507462686567,0.72,0.64,1.09,20,26,https://fonts.google.com/specimen/Alegreya+Sans,2010,,,11,,"3,410,559,105",23,,90,,15,5,,15,100.75,6,10,,,,160.75,
9,Archivo,Archivo,Sans,Grotesque,Blake,,Google,Omnibus-Type,100..900;100..900i,25.25,32.93,1.3,1.46,1.3,1.45,0.982985074626866,0.76,0.68,1.03,19,25,https://fonts.google.com/specimen/Archivo,2012,,,20,,"14,351,502,054",39,,81,,15,5,15,,125.75,2,6,,,,137.75,
10,Balto,Balto,Sans,Grotesque,Franklin,,Adobe,Tal Leming;Type Supply,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,23.62,33.6,1.42,1.43,1.4,1.45,1.00298507462687,0.70,0.70,1.00,18,24,https://fonts.adobe.com/fonts/balto,2013,bja5yow,,,,,,,,,,5,,,5,8,8,15,15,8,84,Vox;The Ringer;Deadline
11,Barlow,Barlow,Sans,Geometric,DIN,,Google,Jeremy Tribby,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,24.29,33.6,1.38,1.43,1.4,1.45,1.00298507462687,0.72,0.70,1.00,18,24,https://fonts.google.com/specimen/Barlow,2017,,,,,"36,581,333,923",56,,,,,5,,,19,8,8,10,10,9,93,Unbounce;code.org
12,Baskerville URW,Baskerville,Serif,Transitional,Baskerville,,Adobe,URW Type Foundry;John Baskerville,400;400i;500;500i;700;700i;800;800i;900;900i,19.34,32.02,1.66,1.5,1.65,1.5,0.955820895522388,0.60,0.66,1.06,19,25,https://fonts.adobe.com/fonts/baskerville-urw,1754,dxl8vtn,39,,13,,,62,,89,-15,15,15,35,131,7,4,,10,5,159,"MOCA, Los Angeles;Metropolitan Opera"
13,Besley,Besley,Serif,Modern,Century,,Google,Owen Earl;,400..900;400..900i,24.96,36,1.44,1.33,1.45,1.35,1.07462686567164,0.70,0.76,0.92,17,22,https://fonts.google.com/specimen/Besley,2018,,,,,"362,459,394",2,,,,,5,,,5.5,10,6,10,,10,75.5,
14,Bitter,Bitter,Serif,Slab,Slab,,Google,Sol Matas,100..900;100..900i,25.52,33.5,1.31,23,1.3,1.45,1,0.76,0.70,1.00,18,24,https://fonts.google.com/specimen/Bitter,2011,,,41,,"14,992,518,040",42,,60,15,15,5,,,105.5,8,8,,5,10,169.5,Ars Technica
15,Bodoni Moda,Bodoni Moda,Serif,Modern,Bodoni,,Google,Owen Earl;,400..900;400..900i,22.08,36,1.63,1.33,1.65,1.35,1.07462686567164,0.62,0.76,0.92,17,22,https://fonts.google.com/specimen/Bodoni+Moda,1790,,,,,"2,536,666,920",19,,,,15,,,,19.75,9,5,10,,10,74.75,
16,Bodoni URW,Bodoni URW,Serif,Modern,Bodoni,,Adobe,URW Type Foundry;Giambattista Bodoni,300;300i;400;400i;500;500i;700;700i;800;800i,18.86,32.02,1.7,1.5,1.7,1.5,0.955820895522388,0.58,0.66,1.06,19,25,https://fonts.adobe.com/fonts/bodoni-urw,1790,ijh0jpa,3,,,,,98,,,,15,15,15,113,10,4,,10,5,153,The American Scholar;Museo Egizio
17,Brandon Grotesque,Brandon Grotesque,Sans,Geometric,Kabel,,Adobe,Hannes von Döhren;HVD Fonts,100;100i;300;300i;400;400i;500;500i;700;700i;900;900i,19.2,33.6,1.75,1.43,1.75,1.45,1.00298507462687,0.58,0.70,1.00,18,24,https://fonts.adobe.com/fonts/brandon-grotesque,2010,jdh5ewi,,,,,,,,,15,15,15,,45,10,6,,15,6,105,Moleskine;Ferm Living;Pixar
18,Bricolage Grotesque,Bricolage Grotesque,Sans,Grotesque,Blake,,Google,Mathieu Triay,200;300;400;500;600;700;800,24.83,31.68,1.28,1.52,1.3,1.5,0.945671641791045,0.78,0.66,1.06,19,25,https://fonts.google.com/specimen/Bricolage+Grotesque,2023,,,41,,"468,891,713",3,,60,15,,,,,75.75,10,8,15,,3,170.75,
19,Cabin,Cabin,Sans,Humanist,Johnston,,Google,Impallari Type;Rodrigo Fuenzalida,400..700;400..700i,23.52,33.6,1.43,1.43,1.45,1.45,1.00298507462687,0.70,0.70,1.00,18,24,https://fonts.google.com/specimen/Cabin,2010,,,,,"15,762,474,408",45,,,,,5,,,16.25,1,6,,,4,22.25,
20,Calluna,Calluna,Serif,Old Style,Garamond,Calluna,Adobe,Jos Buivenga;exljbris Font Foundry,300;400;400i;600;600i;700;700i;900,21.79,32.21,1.48,1.49,1.5,1.5,0.961492537313433,0.68,0.68,1.03,19,25,https://fonts.adobe.com/fonts/calluna,2009,pyq2dra,,,34,,,,,68,,5,,,73,10,10,10,5,4,183,Mother Jones
21,Calluna Sans,Calluna Sans,Sans,Humanist,Johnston,Calluna,Adobe,Jos Buivenga;exljbris Font Foundry,300;300i;400;400i;600;600i;700;700i;900;900i,21.6,32.02,1.48,1.5,1.5,1.5,0.955820895522388,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/calluna-sans,2009,wgi2koo,,,41,,,,,15,,5,,,20,10,10,25,,5,145,
22,Cardo,Cardo,Serif,Old Style,Garamond,,Google,David Perry,400;400i;700,21.09,33.05,1.57,1.45,1.55,1.45,0.986567164179104,0.64,0.68,1.03,19,25,https://fonts.google.com/specimen/Cardo,2002,,,33,,"2,876,719,742",22,,68,,15,,,,88.5,8,8,10,,1,162.5,
23,Chivo,Chivo,Sans,Grotesque,Blake,,Google,Omnibus-Type,100..900;100..900i,24.38,33.82,1.39,1.42,1.4,1.4,1.00955223880597,0.72,0.70,1.00,18,24,https://fonts.google.com/specimen/Chivo,2014,,,34,,"3,682,624,208",25,,67,,,15,,,88.25,,,,,,88.25,
24,Cormorant Garamond,Cormorant Garamond,Serif,Old Style,Garamond,,Google,Christian Thalmann,300;300i;400;400i;500;500i;600;600i;700;700i,18.53,30,1.62,1.6,1.6,1.6,0.895522388059701,0.62,0.62,1.13,20,27,https://fonts.google.com/specimen/Cormorant+Garamond,2015,,,8,,"8,071,744,058",33,,93,,,5,,,106.25,7,6,,,5,148.25,
